frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,2.355,2.355,pose,0.0,0.0,0.0,0.0,1.2032,4.3724,0.3683,1.1147,0.6386,0.9094
1,0.017,2.926,2.64,bbox,0.0,0.0,0.0,0.0,1.2014,4.3688,,,,
2,0.033,2.921,2.921,bbox,0.0,0.0,0.0,0.0,1.2027,4.3699,,,,
3,0.05,2.367,2.644,pose,0.0,0.0,0.0,0.0,1.2018,4.3763,0.3531,1.1476,0.6152,0.8802
4,0.067,2.979,2.921,bbox,0.0,0.0,0.0,0.0,1.2044,4.3821,,,,
5,0.083,2.974,2.926,bbox,0.0,0.0,0.0,0.0,1.2158,4.3911,,,,
6,0.1,2.342,2.921,pose,0.0,0.0,0.0,0.0,1.2263,4.3899,0.387,1.1375,0.6059,0.8441
7,0.117,2.953,2.953,bbox,0.0,0.0,0.0,0.0,1.2319,4.3912,,,,
8,0.133,2.955,2.955,bbox,0.0,0.0,0.0,0.0,1.2366,4.3917,,,,
9,0.15,2.292,2.953,pose,0.0,0.0,0.0,0.0,1.24,4.3802,0.424,1.1361,0.6248,0.8269
10,0.167,2.894,2.894,bbox,0.033,0.0,0.0,0.0,1.2767,4.3753,,,,
11,0.184,2.854,2.894,bbox,0.033,0.0,0.0,0.0,1.3017,4.3684,,,,
12,0.2,2.188,2.854,pose,0.074,0.0,0.0,0.0,1.3166,4.3575,0.5008,1.0689,0.6368,0.8673
13,0.217,2.795,2.795,bbox,0.074,0.0,0.0,0.0,1.3328,4.3409,,,,
14,0.234,2.734,2.795,bbox,0.113,0.0,0.0,0.0,1.3525,4.3079,,,,
15,0.25,2.11,2.734,pose,0.113,0.0,0.032,0.0,1.3668,4.2623,0.5855,0.9311,0.655,0.8846
16,0.267,2.665,2.665,bbox,0.149,0.0,0.065,0.0,1.3855,4.2307,,,,
17,0.284,2.601,2.665,bbox,0.149,0.0,0.11,0.0,1.4059,4.1995,,,,
18,0.3,2.015,2.601,pose,0.182,0.0,0.142,0.0,1.4205,4.1763,0.664,0.7835,0.6493,0.9501
19,0.317,2.525,2.525,bbox,0.182,0.0,0.173,0.0,1.4393,4.1546,,,,
20,0.334,2.499,2.525,bbox,0.217,0.0,0.173,0.0,1.4492,4.1306,,,,
21,0.35,1.975,2.499,pose,0.217,0.0,0.218,0.0,1.4645,4.1189,0.681,0.6841,0.6302,0.9714
22,0.367,2.456,2.456,bbox,0.217,0.0,0.218,0.0,1.4792,4.1234,,,,
23,0.384,2.439,2.456,bbox,0.261,0.0,0.249,0.0,1.4801,4.109,,,,
24,0.4,1.873,2.439,pose,0.261,0.0,0.249,0.0,1.502,4.0959,0.7,0.7141,0.6119,0.9523
25,0.417,2.419,2.419,bbox,0.261,0.0,0.249,0.0,1.5007,4.0915,,,,
26,0.434,2.422,2.422,bbox,0.261,0.0,0.249,0.0,1.4851,4.0698,,,,
27,0.45,1.75,2.419,pose,0.261,0.0,0.281,0.0,1.4657,4.024,0.6914,0.876,0.6115,0.9377
28,0.467,2.351,2.351,bbox,0.298,0.0,0.281,0.0,1.5293,4.007,,,,
29,0.484,2.299,2.351,bbox,0.298,0.0,0.348,0.0,1.5852,3.9994,,,,
30,0.501,1.63,2.299,pose,0.298,0.0,0.348,0.0,1.5955,3.9742,0.692,1.0033,0.6208,0.8844
31,0.517,2.282,2.282,bbox,0.382,0.0,0.348,0.0,1.6094,3.9937,,,,
32,0.534,2.267,2.282,bbox,0.382,0.0,0.379,0.0,1.6239,3.9885,,,,
33,0.551,1.613,2.267,pose,0.382,0.0,0.379,0.0,1.6194,3.9863,0.6468,1.0255,0.6471,0.8797
34,0.567,2.248,2.248,bbox,0.416,0.0,0.379,0.0,1.6342,3.9827,,,,
35,0.584,2.219,2.248,bbox,0.416,0.0,0.379,0.0,1.6574,3.9773,,,,
36,0.601,1.577,2.219,pose,0.416,0.0,0.379,0.0,1.6755,3.9801,0.5811,1.0459,0.6515,0.8746
37,0.617,2.19,2.19,bbox,0.454,0.0,0.379,0.0,1.6969,3.9866,,,,
38,0.634,2.165,2.19,bbox,0.454,0.0,0.379,0.0,1.7157,3.9897,,,,
39,0.651,1.571,2.165,pose,0.494,0.0,0.379,0.0,1.7264,3.9929,0.5398,1.0401,0.6513,0.858
40,0.667,2.147,2.147,bbox,0.494,0.0,0.379,0.0,1.7329,3.9966,,,,
41,0.684,2.137,2.147,bbox,0.494,0.0,0.379,0.0,1.7401,3.992,,,,
42,0.701,1.541,2.137,pose,0.53,0.0,0.379,0.0,1.7408,3.9885,0.5464,1.0165,0.6523,0.8598
43,0.717,2.128,2.128,bbox,0.53,0.0,0.379,0.0,1.7432,3.9873,,,,
44,0.734,2.126,2.128,bbox,0.53,0.0,0.379,0.0,1.7443,3.9844,,,,
45,0.751,1.548,2.126,pose,0.53,0.0,0.379,0.0,1.7491,3.9796,0.5427,0.9855,0.632,0.8887
46,0.767,2.117,2.117,bbox,0.53,0.0,0.379,0.0,1.751,3.977,,,,
47,0.784,2.129,2.126,bbox,0.53,0.0,0.379,0.0,1.7456,3.978,,,,
48,0.801,1.556,2.117,pose,0.53,0.0,0.379,0.0,1.7462,3.9815,0.538,0.9642,0.6163,0.9043
49,0.817,2.147,2.117,bbox,0.53,0.0,0.379,0.0,1.7566,3.9865,,,,
50,0.834,2.155,2.129,bbox,0.53,0.0,0.379,0.0,1.7719,3.999,,,,
51,0.851,1.605,2.129,pose,0.53,0.0,0.379,0.0,1.7753,4.0118,0.5368,0.9301,0.6297,0.8724
52,0.868,2.179,2.147,bbox,0.569,0.0,0.379,0.0,1.7788,4.0279,,,,
53,0.884,2.188,2.155,bbox,0.569,0.0,0.379,0.0,1.7814,4.04,,,,
54,0.901,1.608,2.155,pose,0.569,0.0,0.379,0.034,1.7936,4.0488,0.5406,0.9545,0.6362,0.8546
55,0.918,2.175,2.175,bbox,0.569,0.0,0.379,0.034,1.7981,4.0499,,,,
56,0.934,2.198,2.179,bbox,0.569,0.0,0.379,0.034,1.7747,4.0536,,,,
57,0.951,1.598,2.175,pose,0.569,0.0,0.379,0.034,1.7814,4.0497,0.5587,0.9595,0.6677,0.8303
58,0.968,2.195,2.175,bbox,0.569,0.0,0.379,0.034,1.767,4.0538,,,,
59,0.984,2.206,2.195,bbox,0.569,0.0,0.379,0.034,1.761,4.0585,,,,
60,1.001,1.628,2.195,pose,0.569,0.0,0.379,0.034,1.7609,4.0637,0.5711,0.9754,0.6581,0.8471
61,1.018,2.217,2.195,bbox,0.569,0.0,0.379,0.065,1.7517,4.0646,,,,
62,1.034,2.228,2.206,bbox,0.569,0.0,0.379,0.065,1.7481,4.0815,,,,
63,1.051,1.669,2.206,pose,0.569,0.0,0.379,0.065,1.7319,4.0906,0.542,0.9974,0.6584,0.8614
64,1.068,2.246,2.217,bbox,0.569,0.0,0.379,0.065,1.7309,4.094,,,,
65,1.084,2.26,2.228,bbox,0.569,0.04,0.379,0.097,1.7308,4.1014,,,,
66,1.101,1.728,2.228,pose,0.569,0.04,0.379,0.097,1.73,4.1123,0.5212,1.0012,0.6414,0.8856
67,1.118,2.258,2.246,bbox,0.569,0.04,0.379,0.097,1.7299,4.1117,,,,
68,1.134,2.266,2.258,bbox,0.569,0.04,0.379,0.097,1.7304,4.1202,,,,
69,1.151,1.764,2.258,pose,0.569,0.04,0.379,0.097,1.7246,4.1374,0.5401,0.9833,0.6043,0.8889
70,1.168,2.306,2.258,bbox,0.569,0.04,0.379,0.097,1.7208,4.1436,,,,
71,1.185,2.366,2.266,bbox,0.569,0.04,0.379,0.144,1.6901,4.1659,,,,
72,1.201,1.832,2.266,pose,0.569,0.04,0.379,0.144,1.6185,4.1927,0.5556,0.9564,0.604,0.9181
73,1.218,2.503,2.306,bbox,0.569,0.082,0.379,0.144,1.6062,4.2165,,,,
74,1.235,2.501,2.366,bbox,0.569,0.136,0.379,0.199,1.6363,4.2356,,,,
75,1.251,1.998,2.366,pose,0.569,0.136,0.379,0.199,1.6643,4.2668,0.5356,0.832,0.6154,0.8778
76,1.268,2.483,2.483,bbox,0.569,0.136,0.379,0.242,1.6651,4.24,,,,
77,1.285,2.544,2.501,bbox,0.569,0.136,0.379,0.242,1.6123,4.2582,,,,
78,1.301,2.084,2.483,pose,0.569,0.136,0.379,0.242,1.6767,4.2867,0.5574,0.7242,0.6351,0.864
79,1.318,2.476,2.476,bbox,0.569,0.136,0.379,0.273,1.686,4.2763,,,,
80,1.335,2.478,2.478,bbox,0.604,0.136,0.379,0.273,1.6713,4.2753,,,,
81,1.351,2.064,2.476,pose,0.604,0.136,0.379,0.273,1.6664,4.2874,0.5801,0.7247,0.6745,0.8636
82,1.368,2.485,2.476,bbox,0.604,0.136,0.379,0.273,1.6641,4.2924,,,,
83,1.385,2.484,2.478,bbox,0.604,0.136,0.379,0.273,1.6593,4.2912,,,,
84,1.401,2.075,2.478,pose,0.604,0.136,0.379,0.273,1.6478,4.2792,0.5514,0.7403,0.6685,0.8514
85,1.418,2.5,2.484,bbox,0.604,0.136,0.379,0.273,1.6352,4.2766,,,,
86,1.435,2.514,2.485,bbox,0.604,0.136,0.379,0.273,1.6321,4.2813,,,,
87,1.451,2.091,2.484,pose,0.604,0.172,0.379,0.273,1.6326,4.2807,0.4962,0.81,0.6515,0.8547
88,1.468,2.543,2.5,bbox,0.604,0.172,0.379,0.273,1.6264,4.295,,,,
89,1.485,2.561,2.514,bbox,0.604,0.172,0.379,0.273,1.6171,4.2952,,,,
90,1.502,2.045,2.514,pose,0.604,0.172,0.379,0.273,1.612,4.2664,0.4381,0.9552,0.6365,0.8842
91,1.518,2.535,2.535,bbox,0.604,0.172,0.379,0.273,1.6053,4.2415,,,,
92,1.535,2.531,2.535,bbox,0.604,0.172,0.379,0.273,1.5962,4.228,,,,
93,1.552,1.976,2.531,pose,0.604,0.172,0.379,0.273,1.5913,4.206,0.3857,1.0634,0.6051,0.8748
94,1.568,2.545,2.531,bbox,0.604,0.211,0.417,0.273,1.5863,4.2154,,,,
95,1.585,2.55,2.535,bbox,0.604,0.211,0.417,0.273,1.582,4.2084,,,,
96,1.602,1.953,2.531,pose,0.604,0.211,0.417,0.273,1.5782,4.1916,0.39,1.1217,0.5969,0.8709
97,1.618,2.552,2.545,bbox,0.604,0.211,0.417,0.273,1.5761,4.1885,,,,
98,1.635,2.558,2.55,bbox,0.604,0.211,0.454,0.273,1.5782,4.1908,,,,
99,1.652,1.932,2.55,pose,0.604,0.211,0.454,0.273,1.5836,4.1997,0.4134,1.128,0.5931,0.8127
100,1.668,2.568,2.552,bbox,0.604,0.211,0.454,0.273,1.5848,4.199,,,,
101,1.685,2.563,2.558,bbox,0.604,0.211,0.454,0.273,1.6016,4.2066,,,,
102,1.702,1.876,2.558,pose,0.604,0.211,0.454,0.273,1.6103,4.2025,0.4541,1.1158,0.6072,0.8057
103,1.718,2.519,2.519,bbox,0.604,0.211,0.454,0.273,1.6303,4.2065,,,,
104,1.735,2.478,2.519,bbox,0.604,0.211,0.454,0.273,1.6592,4.209,,,,
105,1.752,1.797,2.478,pose,0.638,0.211,0.454,0.273,1.6707,4.2096,0.5114,1.1077,0.6225,0.8353
106,1.768,2.444,2.444,bbox,0.638,0.211,0.454,0.273,1.6815,4.2117,,,,
107,1.785,2.431,2.444,bbox,0.678,0.211,0.454,0.273,1.6994,4.2263,,,,
108,1.802,1.729,2.431,pose,0.678,0.211,0.454,0.273,1.7144,4.217,0.5519,1.0275,0.6497,0.8653
109,1.818,2.372,2.372,bbox,0.678,0.211,0.454,0.273,1.7288,4.199,,,,
110,1.835,2.359,2.372,bbox,0.722,0.211,0.454,0.273,1.7417,4.1924,,,,
111,1.852,1.716,2.359,pose,0.722,0.211,0.454,0.273,1.7527,4.1809,0.5558,0.9462,0.6398,0.8741
112,1.869,2.319,2.319,bbox,0.722,0.211,0.454,0.273,1.7673,4.1696,,,,
113,1.885,2.3,2.319,bbox,0.76,0.211,0.454,0.273,1.7889,4.1621,,,,
114,1.902,1.719,2.3,pose,0.76,0.211,0.454,0.273,1.8089,4.153,0.5315,0.8784,0.6116,0.8845
115,1.919,2.265,2.265,bbox,0.796,0.211,0.454,0.273,1.8193,4.1428,,,,
116,1.935,2.257,2.265,bbox,0.796,0.211,0.492,0.273,1.8351,4.1448,,,,
117,1.952,1.721,2.257,pose,0.827,0.211,0.492,0.273,1.8534,4.1531,0.5483,0.8188,0.5919,0.8596
118,1.969,2.269,2.257,bbox,0.827,0.211,0.492,0.273,1.8588,4.1591,,,,
119,1.985,2.272,2.265,bbox,0.861,0.211,0.492,0.273,1.864,4.1604,,,,
120,2.002,1.728,2.257,pose,0.861,0.211,0.492,0.273,1.841,4.1644,0.536,0.8092,0.6044,0.8465
121,2.019,2.307,2.269,bbox,0.861,0.211,0.492,0.273,1.8465,4.1767,,,,
122,2.035,2.342,2.272,bbox,0.861,0.211,0.492,0.273,1.8118,4.1819,,,,
123,2.052,1.711,2.272,pose,0.861,0.211,0.492,0.273,1.8441,4.1869,0.5353,0.8397,0.6181,0.8547
124,2.069,2.314,2.307,bbox,0.861,0.211,0.492,0.273,1.8384,4.1888,,,,
125,2.085,2.292,2.307,bbox,0.861,0.211,0.492,0.307,1.8664,4.1918,,,,
126,2.102,1.72,2.292,pose,0.861,0.211,0.492,0.307,1.9129,4.2024,0.519,0.8449,0.6333,0.8578
127,2.119,2.231,2.231,bbox,0.861,0.211,0.492,0.307,1.9212,4.2037,,,,
128,2.135,2.218,2.231,bbox,0.92,0.211,0.492,0.307,1.9261,4.2047,,,,
129,2.152,1.722,2.218,pose,0.92,0.211,0.492,0.307,1.9258,4.2226,0.5019,0.8375,0.6551,0.8572
130,2.169,2.235,2.218,bbox,0.92,0.211,0.492,0.307,1.931,4.2283,,,,
131,2.186,2.233,2.231,bbox,0.92,0.211,0.492,0.343,1.9339,4.2372,,,,
132,2.202,1.743,2.218,pose,0.92,0.211,0.492,0.343,1.9453,4.2391,0.4592,0.8655,0.6435,0.9253
133,2.219,2.238,2.233,bbox,0.92,0.211,0.492,0.343,1.9503,4.2673,,,,
134,2.236,2.262,2.235,bbox,0.953,0.211,0.492,0.343,1.9523,4.2868,,,,
135,2.252,1.824,2.233,pose,0.953,0.211,0.492,0.387,1.9536,4.3079,0.4108,0.9128,0.6286,0.9256
136,2.269,2.326,2.238,bbox,0.953,0.211,0.492,0.387,1.959,4.3436,,,,
137,2.286,2.393,2.262,bbox,0.953,0.211,0.492,0.428,1.9612,4.3947,,,,
138,2.302,1.915,2.262,pose,0.953,0.211,0.492,0.464,1.9567,4.4232,0.4121,0.9179,0.6001,0.9067
139,2.319,2.473,2.326,bbox,0.953,0.211,0.492,0.515,1.9577,4.4678,,,,
140,2.336,2.512,2.393,bbox,0.953,0.211,0.492,0.515,1.9574,4.4914,,,,
141,2.352,1.912,2.393,pose,0.953,0.211,0.492,0.588,1.9413,4.5165,0.4494,1.0147,0.573,0.8615
142,2.369,2.573,2.473,bbox,0.953,0.211,0.492,0.588,1.947,4.5315,,,,
143,2.386,2.603,2.512,bbox,0.953,0.211,0.492,0.637,1.953,4.5433,,,,
144,2.402,1.863,2.512,pose,0.953,0.211,0.492,0.637,1.942,4.5552,0.5251,1.0732,0.5667,0.8279
145,2.419,2.651,2.573,bbox,0.953,0.211,0.492,0.637,1.9461,4.5713,,,,
146,2.436,2.634,2.603,bbox,0.953,0.211,0.492,0.675,1.9744,4.5759,,,,
147,2.452,1.771,2.603,pose,0.953,0.211,0.492,0.675,1.9241,4.5797,0.6299,1.0839,0.5413,0.8315
148,2.469,2.695,2.634,bbox,0.953,0.211,0.492,0.675,1.9178,4.5855,,,,
149,2.486,2.59,2.634,bbox,0.953,0.211,0.492,0.675,2.025,4.5918,,,,
150,2.502,1.706,2.59,pose,0.953,0.211,0.492,0.706,2.0627,4.5996,0.7175,1.0722,0.5357,0.8438
151,2.519,2.534,2.534,bbox,1.033,0.211,0.492,0.706,2.0768,4.6035,,,,
152,2.536,2.513,2.534,bbox,1.07,0.211,0.492,0.706,2.0994,4.6108,,,,
153,2.553,1.69,2.513,pose,1.07,0.211,0.492,0.706,2.1098,4.6102,0.7587,1.0915,0.5233,0.9
154,2.569,2.506,2.506,bbox,1.107,0.211,0.492,0.706,2.1219,4.6242,,,,
155,2.586,2.502,2.506,bbox,1.107,0.211,0.492,0.706,2.1285,4.6431,,,,
156,2.603,1.719,2.502,pose,1.107,0.211,0.492,0.744,2.1414,4.6684,0.7658,1.0543,0.4944,0.8987
157,2.619,2.514,2.502,bbox,1.107,0.211,0.492,0.744,2.1463,4.6868,,,,
158,2.636,2.543,2.506,bbox,1.149,0.211,0.492,0.788,2.1492,4.7207,,,,
159,2.653,1.851,2.502,pose,1.149,0.211,0.492,0.788,2.1549,4.7544,0.7778,0.9277,0.4861,0.9437
160,2.669,2.576,2.514,bbox,1.149,0.211,0.492,0.841,2.1699,4.7885,,,,
161,2.686,2.594,2.543,bbox,1.149,0.211,0.492,0.874,2.1802,4.8318,,,,
162,2.703,1.978,2.543,pose,1.149,0.211,0.492,0.909,2.1669,4.882,0.7727,0.8315,0.5085,0.9528
163,2.719,2.679,2.576,bbox,1.149,0.211,0.492,0.952,2.1533,4.9166,,,,
164,2.736,2.681,2.594,bbox,1.149,0.211,0.492,1.002,2.1532,4.9405,,,,
165,2.753,1.953,2.594,pose,1.149,0.211,0.492,1.037,2.1739,4.9549,0.7248,0.8695,0.5198,0.9683
166,2.769,2.617,2.617,bbox,1.149,0.211,0.492,1.037,2.2169,4.9542,,,,
167,2.786,2.583,2.617,bbox,1.181,0.211,0.492,1.07,2.2467,4.9498,,,,
168,2.803,1.945,2.583,pose,1.224,0.211,0.492,1.07,2.2692,4.9503,0.6443,0.9226,0.5566,0.9192
169,2.819,2.514,2.514,bbox,1.224,0.211,0.492,1.07,2.303,4.947,,,,
170,2.836,2.475,2.514,bbox,1.277,0.211,0.492,1.07,2.3229,4.9449,,,,
171,2.853,1.927,2.475,pose,1.311,0.211,0.492,1.07,2.3418,4.9432,0.5377,0.9441,0.564,0.9113
172,2.87,2.437,2.437,bbox,1.311,0.211,0.492,1.07,2.3644,4.941,,,,
173,2.886,2.422,2.437,bbox,1.349,0.211,0.492,1.07,2.3721,4.9381,,,,
174,2.903,1.917,2.422,pose,1.349,0.211,0.492,1.07,2.3752,4.9397,0.4068,0.9698,0.5972,0.9226
175,2.92,2.41,2.41,bbox,1.38,0.211,0.492,1.07,2.3735,4.9449,,,,
176,2.936,2.395,2.41,bbox,1.38,0.211,0.492,1.07,2.3713,4.9382,,,,
177,2.953,1.901,2.395,pose,1.38,0.211,0.492,1.07,2.37,4.9335,0.3422,0.9507,0.6005,0.9528
178,2.97,2.387,2.387,bbox,1.38,0.211,0.492,1.07,2.3668,4.9297,,,,
179,2.986,2.351,2.387,bbox,1.38,0.211,0.492,1.07,2.3625,4.9219,,,,
180,3.003,1.902,2.351,pose,1.38,0.211,0.492,1.07,2.36,4.9309,0.3492,0.9441,0.6038,0.9965
181,3.02,2.394,2.351,bbox,1.38,0.211,0.492,1.07,2.3596,4.9615,,,,
